ticker,nome
NVDC34.SA,NVIDIA CORP 
NVHO11.SA,FII NOVOHORI
ODPV3.SA,ODONTOPREV  
OFSA3.SA,OUROFINO S/A
OGXP3.SA,OGX PETROLEO
OIBR3.SA,OI          
OIBR4.SA,OI          
OIBR9.SA,OI          
OMGE3.SA,OMEGA GER   
ONEF11.SA,FII THE ONE 
ORCL34.SA,ORACLE      
ORLY34.SA,OREILLY AUT 
ORPD11.SA,FII OURO PRT
OSXB3.SA,OSX BRASIL  
OUCY11.SA,FII OURICYRE
OUCY12.SA,FII OURICYRE
OUFF11.SA,FII OURI FOF
OUJP11.SA,FII OURI JPP
OUJP12.SA,FII OURI JPP
OULG11B.SA,FII OURILOG 
OULG12B.SA,FII OURILOG 
OXYP34.SA,OCCIDENT PTR
PABY11.SA,FII PANAMBY 
PARD3.SA,IHPARDINI   
PATC11.SA,FII PATRIA  
PATI3.SA,PANATLANTICA
PATI4.SA,PANATLANTICA
PCAR3.SA,P.ACUCAR-CBD
PCAR4.SA,P.ACUCAR-CBD
PDDA11B.SA,FII PEDRA D 
PDGR3.SA,PDG REALT   
PEAB3.SA,PAR AL BAHIA
PEAB4.SA,PAR AL BAHIA
PEPB34.SA,PEPSICO INC 
PETR3.SA,PETROBRAS   
PETR4.SA,PETROBRAS   
PFIZ34.SA,PFIZER      
PFRM3.SA,PROFARMA    
PGCO34.SA,PG          
PHGN34.SA,KOPHILIPS   
PHMO34.SA,PHILIP MORRI
PIBB11.SA,IT NOW PIBB 
PINE10.SA,PINE        
PINE2.SA,PINE        
PINE4.SA,PINE        
PLAS1.SA,PLASCAR PART
PLAS3.SA,PLASCAR PART
PLCR11.SA,FII PLURAL R
PLRI11.SA,FII POLO I  
PMAM3.SA,PARANAPANEMA
PMSP11B.SA,CEPAC - PMSP
PMSP12B.SA,CEPAC - PMSP
PNCS34.SA,PNCFNANCIAL 
PNVL3.SA,DIMED       
PNVL4.SA,DIMED       
POMO10.SA,MARCOPOLO   
POMO2.SA,MARCOPOLO   
POMO3.SA,MARCOPOLO   
POMO4.SA,MARCOPOLO   
PORD11.SA,FII POLO CRI
POSI3.SA,POSITIVO TEC
PPLA11.SA,PPLA        
PQDP11.SA,FII D PEDRO 
PRIO3.SA,PETRORIO    
PRSN11B.SA,FII PERSONAL
PRSV11.SA,FII P VARGAS
PSSA3.SA,PORTO SEGURO
PSVM11.SA,PORTO VM    
PTBL3.SA,PORTOBELLO  
PTCH34.SA,PETROCHIN   
PTNT3.SA,PETTENATI   
PTNT4.SA,PETTENATI   
PYPL34.SA,PAYPAL HOLD 
QAGR11.SA,FII QUASAR A
QCOM34.SA,QUALCOMM    
QGEP3.SA,QGEP PART   
QUAL3.SA,QUALICORP   
RADL3.SA,RAIADROGASIL
RAIL3.SA,RUMO S.A.   
RANI3.SA,CELUL IRANI 
RANI4.SA,CELUL IRANI 
RAPT3.SA,RANDON PART 
RAPT4.SA,RANDON PART 
RBBV11.SA,FII JHSF FBV
RBCB11.SA,FII RIOBRCIB
RBCO11.SA,FII R INCOME
RBCO12.SA,FII R INCOME
RBDS11.SA,FII RBRESID2
RBED11.SA,FII RIOB ED 
RBFF11.SA,FII RIOB FF 
RBGS11.SA,FII RB GSB I
RBIV11.SA,FII RBCRI IV
RBRD11.SA,FII RB II   
RBRF11.SA,FII RBRALPHA
RBRF12.SA,FII RBRALPHA
RBRP11.SA,FII RBR PROP
RBRP12.SA,FII RBR PROP
RBRR11.SA,FII RBRHGRAD
RBRR12.SA,FII RBRHGRAD
RBRY11.SA,FII RBR PCRI
RBVA11.SA,FII RIOB VA 
RBVO11.SA,FII RIOBCRI2
RCFA11.SA,FII GP RCFA 
